question_uid,branch,subject,topic,qtype,difficulty,statement,option_A,option_B,option_C,option_D,correct_answer,explanation,tags,estimated_time,marks
c90b8a00-b06d-4480-a6f2-d6b1a6efedae,AIML,AIML Fundamentals,AIML Fundamentals - Topic 1,NUM,Hard,"Given values a=48 and b=25 in AIML Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
df4f4fe5-5700-48d3-87fd-2ae4fce5e64a,ECE,Signals,Signals - Topic 1,NUM,Hard,"Given values a=46 and b=28 in Signals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
26b03c64-eaa2-4dc3-ba94-d037c2570c22,CSE,Algorithms,Algorithms - Topic 1,NUM,Expert,"Given values a=15 and b=2 in Algorithms - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
90a2f4ed-2a53-4bfe-8c1a-ef38a6fd9167,Environmental,Environmental Fundamentals,Environmental Fundamentals - Topic 2,NUM,Hard,"Given values a=10 and b=7 in Environmental Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
b6f157cb-4931-41f2-9c0a-f813b1b81c41,ECE,Digital Design,Digital Design - Topic 1,NUM,Easy,"Given values a=48 and b=24 in Digital Design - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
5a4855f4-fbe6-4761-b951-ab2f6a42e2ff,CSE,Computer Networks,Computer Networks - Topic 2,NUM,Hard,"Given values a=41 and b=34 in Computer Networks - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
13e0dacf-b677-4c66-93ae-9400f2af9eea,ECE,Signals,Signals - Topic 2,NUM,Expert,"Given values a=64 and b=72 in Signals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
f55e10fd-f6f5-4d81-8655-c1d7e37aceb0,Automobile,Automobile Fundamentals,Automobile Fundamentals - Topic 1,NUM,Medium,"Given values a=68 and b=26 in Automobile Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
5728d18b-a672-4522-bdd0-379015f8ecf2,Biotechnology,Biotechnology Fundamentals,Biotechnology Fundamentals - Topic 2,NUM,Medium,"Given values a=56 and b=63 in Biotechnology Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
89e0fff0-96b5-4d47-86d0-233f5a74a09b,Civil,Civil Fundamentals,Civil Fundamentals - Topic 2,NUM,Easy,"Given values a=11 and b=50 in Civil Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
ec77aee6-6095-4834-9aa1-819a0fa88f0a,ISE,ISE Applications,ISE Applications - Topic 1,NUM,Hard,"Given values a=93 and b=57 in ISE Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
4ef69842-a84f-4fc3-a5f4-cc11dd356207,Mechanical,Thermodynamics,Thermodynamics - Topic 2,NUM,Expert,"Given values a=77 and b=80 in Thermodynamics - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
c9832a4d-e12f-4049-a8cd-fa8d35f3625e,Civil,Civil Applications,Civil Applications - Topic 2,NUM,Easy,"Given values a=41 and b=52 in Civil Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
16c4f498-421f-4c31-be6e-7b35d88e1e8b,Civil,Civil Fundamentals,Civil Fundamentals - Topic 2,NUM,Easy,"Given values a=1 and b=91 in Civil Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
65028456-5a0a-4d46-a92a-0df55b4189fb,Biotechnology,Biotechnology Fundamentals,Biotechnology Fundamentals - Topic 1,NUM,Expert,"Given values a=37 and b=76 in Biotechnology Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
32c016e9-878a-4ab1-ac7e-9c913b643c61,ECE,Signals,Signals - Topic 2,NUM,Expert,"Given values a=8 and b=41 in Signals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
7a382720-72fd-487c-b0d7-f50c3d708c2f,Biotechnology,Biotechnology Applications,Biotechnology Applications - Topic 1,NUM,Medium,"Given values a=29 and b=55 in Biotechnology Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
3d2a08e8-a4a7-4f33-be40-988940b580d7,CSE,Algorithms,Algorithms - Topic 2,NUM,Medium,"Given values a=62 and b=8 in Algorithms - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
7c9abf39-6f6c-4881-96d6-19dbef910521,Aerospace,Aerospace Applications,Aerospace Applications - Topic 1,NUM,Medium,"Given values a=89 and b=45 in Aerospace Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
accaf2c9-6f81-4a73-ba2c-14c65a7b3722,CSE,Operating Systems,Operating Systems - Topic 2,NUM,Hard,"Given values a=97 and b=58 in Operating Systems - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
e68cc025-6188-4452-868e-8ef4d6020b29,Environmental,Environmental Fundamentals,Environmental Fundamentals - Topic 2,NUM,Hard,"Given values a=92 and b=92 in Environmental Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
8eb461d0-5bcc-41b4-97a0-7c1597c5a771,Mechanical,Thermodynamics,Thermodynamics - Topic 1,NUM,Medium,"Given values a=78 and b=93 in Thermodynamics - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
e171ecef-265d-49c4-942c-4e2799f52226,Cyber Security,Cyber Security Applications,Cyber Security Applications - Topic 2,NUM,Expert,"Given values a=93 and b=55 in Cyber Security Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
c1cff04d-b1c1-4c19-80bc-14c412fd4cdf,Mechanical,Fluid Mechanics,Fluid Mechanics - Topic 1,NUM,Easy,"Given values a=47 and b=51 in Fluid Mechanics - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
6bb4a543-b41b-4fec-b582-0565da6e29bc,Cyber Security,Cyber Security Fundamentals,Cyber Security Fundamentals - Topic 1,NUM,Medium,"Given values a=24 and b=43 in Cyber Security Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
564f0bbf-a144-4937-b81d-ec9e240797cc,Automobile,Automobile Fundamentals,Automobile Fundamentals - Topic 2,NUM,Medium,"Given values a=48 and b=46 in Automobile Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
fcd3755c-3c34-48e1-a2cc-a333550566ba,CSE,Operating Systems,Operating Systems - Topic 1,NUM,Easy,"Given values a=4 and b=23 in Operating Systems - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
40af3e33-1b19-4606-8d00-b224c76f3ca0,Mechanical,Thermodynamics,Thermodynamics - Topic 2,NUM,Expert,"Given values a=74 and b=2 in Thermodynamics - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
81e70f9e-2508-4cc7-83f4-7e918c015035,Mechatronics,Mechatronics Fundamentals,Mechatronics Fundamentals - Topic 2,NUM,Medium,"Given values a=27 and b=47 in Mechatronics Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
a993dd26-c645-4450-a76e-4f4eee62f197,Mechatronics,Mechatronics Fundamentals,Mechatronics Fundamentals - Topic 2,NUM,Medium,"Given values a=54 and b=23 in Mechatronics Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
8ac99a3f-5e81-43d6-a2d8-1fe957f3bf6a,ECE,Signals,Signals - Topic 1,NUM,Hard,"Given values a=61 and b=35 in Signals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
63362cec-f57b-4e88-9ba5-ac5d7c2b4ca4,Civil,Civil Fundamentals,Civil Fundamentals - Topic 1,NUM,Expert,"Given values a=55 and b=58 in Civil Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
7d6efabc-2e4f-4870-9271-2a34ae7de2df,Environmental,Environmental Fundamentals,Environmental Fundamentals - Topic 1,NUM,Expert,"Given values a=50 and b=40 in Environmental Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
9f04e2cd-9d2a-420c-9833-7bd369f58db3,Chemical,Chemical Applications,Chemical Applications - Topic 2,NUM,Hard,"Given values a=5 and b=77 in Chemical Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
503b38e0-8633-435f-ba09-8c6137dff11b,AIML,AIML Applications,AIML Applications - Topic 2,NUM,Expert,"Given values a=59 and b=15 in AIML Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
71f83eae-e5e4-4897-971e-5844decffefb,Robotics,Robotics Fundamentals,Robotics Fundamentals - Topic 1,NUM,Expert,"Given values a=66 and b=6 in Robotics Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
0e1f7787-f44f-4ced-8ad2-403da20b6458,ISE,ISE Fundamentals,ISE Fundamentals - Topic 2,NUM,Easy,"Given values a=25 and b=61 in ISE Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
dccabf5f-1c5d-4178-aaa4-7fa6d76ac3c4,Data Science,Data Science Fundamentals,Data Science Fundamentals - Topic 1,NUM,Hard,"Given values a=87 and b=32 in Data Science Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
3ffe834d-0bc2-4c35-8053-80c9eb9b6c47,AIML,AIML Fundamentals,AIML Fundamentals - Topic 2,NUM,Hard,"Given values a=42 and b=23 in AIML Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
6ebb4917-2185-485f-8699-7544b78c54b9,EEE,EEE Fundamentals,EEE Fundamentals - Topic 2,NUM,Expert,"Given values a=98 and b=84 in EEE Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
0c6361d1-0796-4a60-ac74-6676da6ca3da,Automobile,Automobile Fundamentals,Automobile Fundamentals - Topic 1,NUM,Medium,"Given values a=23 and b=86 in Automobile Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
d733d317-657b-446f-8fb8-e58692a011b5,Automobile,Automobile Fundamentals,Automobile Fundamentals - Topic 1,NUM,Medium,"Given values a=36 and b=7 in Automobile Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
38c5ddc9-eea7-453e-8c16-2865acc853c0,Industrial,Industrial Fundamentals,Industrial Fundamentals - Topic 2,NUM,Expert,"Given values a=25 and b=60 in Industrial Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
8a08ea7e-ba91-4434-8afe-6df25cadd7fa,Civil,Civil Fundamentals,Civil Fundamentals - Topic 2,NUM,Easy,"Given values a=48 and b=76 in Civil Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
4e69808b-0176-4452-84ba-47cceb87e7df,Civil,Civil Fundamentals,Civil Fundamentals - Topic 2,NUM,Easy,"Given values a=78 and b=21 in Civil Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
42221173-5b09-4202-b78e-1d49b136bc37,Cyber Security,Cyber Security Applications,Cyber Security Applications - Topic 2,NUM,Expert,"Given values a=14 and b=48 in Cyber Security Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
1434b79b-8dfd-47dd-a7fc-88e2a0de1dfc,CSE,Operating Systems,Operating Systems - Topic 2,NUM,Hard,"Given values a=42 and b=84 in Operating Systems - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
f07cfeab-3876-4d1b-a3a7-66d2ce6ca775,Industrial,Industrial Fundamentals,Industrial Fundamentals - Topic 1,NUM,Easy,"Given values a=95 and b=79 in Industrial Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
0539b9d7-7069-4900-9575-32c3d22f1265,Biotechnology,Biotechnology Applications,Biotechnology Applications - Topic 2,NUM,Medium,"Given values a=49 and b=72 in Biotechnology Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
c58c4628-69d8-4698-83b7-38f63782bf52,Mechatronics,Mechatronics Fundamentals,Mechatronics Fundamentals - Topic 2,NUM,Medium,"Given values a=84 and b=37 in Mechatronics Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
60e3ae30-515d-4569-bd76-d3e235cdf189,CSE,Databases,Databases - Topic 1,NUM,Expert,"Given values a=78 and b=54 in Databases - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
c86c8a17-e60c-4574-9f35-6b9b54ee6a92,Data Science,Data Science Applications,Data Science Applications - Topic 1,NUM,Expert,"Given values a=58 and b=100 in Data Science Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
67c74ed8-5d37-4039-bcf4-0516e8bcea3f,Chemical,Chemical Applications,Chemical Applications - Topic 2,NUM,Hard,"Given values a=40 and b=81 in Chemical Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
13361c11-28a2-4035-8069-03f204ee4f89,Mechanical,Thermodynamics,Thermodynamics - Topic 2,NUM,Expert,"Given values a=11 and b=91 in Thermodynamics - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
617cba2a-60f7-4573-9cdf-75cab3d8aa8f,ISE,ISE Applications,ISE Applications - Topic 2,NUM,Medium,"Given values a=34 and b=76 in ISE Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
958d2adb-3c05-4a3a-93b1-68c885b4fd4d,Biotechnology,Biotechnology Fundamentals,Biotechnology Fundamentals - Topic 2,NUM,Medium,"Given values a=94 and b=82 in Biotechnology Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
947afef2-21a2-4cfb-b6e4-ba37f0916ba2,Cyber Security,Cyber Security Fundamentals,Cyber Security Fundamentals - Topic 1,NUM,Medium,"Given values a=43 and b=76 in Cyber Security Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
e71dcdca-4cd4-42c1-b65d-6d0da23d471b,Civil,Civil Fundamentals,Civil Fundamentals - Topic 1,NUM,Expert,"Given values a=95 and b=4 in Civil Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
73ecb2b2-dc04-4742-86ad-b617b13399b3,ISE,ISE Applications,ISE Applications - Topic 2,NUM,Medium,"Given values a=67 and b=17 in ISE Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
76eff3aa-d416-44de-bec7-4841425c8acc,Civil,Civil Applications,Civil Applications - Topic 2,NUM,Easy,"Given values a=21 and b=97 in Civil Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
29796915-e0a0-4009-9701-126e16129554,CSE,Algorithms,Algorithms - Topic 1,NUM,Expert,"Given values a=73 and b=20 in Algorithms - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
c92caebe-87d8-4e80-a0b0-3bc552e9e5e7,ISE,ISE Fundamentals,ISE Fundamentals - Topic 2,NUM,Easy,"Given values a=3 and b=84 in ISE Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
4f4e69c2-b245-47e9-b83d-819d6acd1635,Mechatronics,Mechatronics Fundamentals,Mechatronics Fundamentals - Topic 1,NUM,Medium,"Given values a=90 and b=75 in Mechatronics Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
6fa8310b-edfa-4c98-a2f6-1dba3595ac8b,Mechanical,Thermodynamics,Thermodynamics - Topic 2,NUM,Expert,"Given values a=3 and b=91 in Thermodynamics - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
eb427a0c-51f5-4c14-9e64-9f5b490b0a91,CSE,Algorithms,Algorithms - Topic 2,NUM,Medium,"Given values a=40 and b=87 in Algorithms - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
bcc42cb4-dfea-4b9d-9e8a-ffc81a122ff0,ISE,ISE Applications,ISE Applications - Topic 2,NUM,Medium,"Given values a=22 and b=78 in ISE Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
07b0daf9-7e56-45f3-9606-b509e3f18c60,EEE,EEE Fundamentals,EEE Fundamentals - Topic 2,NUM,Expert,"Given values a=36 and b=20 in EEE Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
25188ef9-4bbc-4400-98d5-84608624f7ce,EEE,EEE Fundamentals,EEE Fundamentals - Topic 2,NUM,Expert,"Given values a=26 and b=5 in EEE Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
01b354bc-f4e6-4cbf-84e5-26c02aa8dac2,CSE,Operating Systems,Operating Systems - Topic 2,NUM,Hard,"Given values a=21 and b=37 in Operating Systems - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
53a2bf27-45cf-4201-bcb3-595088e7eb12,Civil,Civil Applications,Civil Applications - Topic 1,NUM,Hard,"Given values a=99 and b=94 in Civil Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
29f6852b-5cbb-431f-948e-574abf1da9ba,Aerospace,Aerospace Applications,Aerospace Applications - Topic 1,NUM,Medium,"Given values a=42 and b=83 in Aerospace Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
293771d2-2b82-4758-aba3-433ee3503e83,Chemical,Chemical Applications,Chemical Applications - Topic 2,NUM,Hard,"Given values a=95 and b=33 in Chemical Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
ab407ffe-7e8b-4105-9732-a5c4eee67980,Data Science,Data Science Fundamentals,Data Science Fundamentals - Topic 2,NUM,Hard,"Given values a=64 and b=17 in Data Science Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
49aac163-a979-4619-9de1-1af03dbe4aa5,EEE,EEE Fundamentals,EEE Fundamentals - Topic 2,NUM,Expert,"Given values a=79 and b=38 in EEE Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
65c86870-c534-4096-8550-beeddde7bbf5,Data Science,Data Science Fundamentals,Data Science Fundamentals - Topic 2,NUM,Hard,"Given values a=61 and b=23 in Data Science Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
583290d8-7d90-4b8d-8adf-d77997f80c30,Automobile,Automobile Fundamentals,Automobile Fundamentals - Topic 2,NUM,Medium,"Given values a=69 and b=26 in Automobile Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
02df42a0-95ed-44ba-aadf-1dea6f047f86,ECE,Digital Design,Digital Design - Topic 2,NUM,Easy,"Given values a=94 and b=20 in Digital Design - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
ca4e4388-dcb4-4788-9cf5-3dd0e1dcf795,Civil,Civil Applications,Civil Applications - Topic 1,NUM,Hard,"Given values a=47 and b=82 in Civil Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
e56ab202-49a5-4d90-add8-56844216822f,EEE,EEE Fundamentals,EEE Fundamentals - Topic 2,NUM,Expert,"Given values a=99 and b=57 in EEE Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
d0f1f119-711f-49ea-b268-fa0f1f13b372,Robotics,Robotics Fundamentals,Robotics Fundamentals - Topic 2,NUM,Expert,"Given values a=47 and b=39 in Robotics Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
762fc3d9-428e-48a7-bc5b-7dee665a768f,Cyber Security,Cyber Security Applications,Cyber Security Applications - Topic 2,NUM,Expert,"Given values a=71 and b=35 in Cyber Security Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
f06dc878-4972-469e-ba89-a26f63df4aae,CSE,Algorithms,Algorithms - Topic 1,NUM,Expert,"Given values a=17 and b=90 in Algorithms - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
72ac4b34-5538-429a-bf9c-e9b192285b07,ECE,Circuits,Circuits - Topic 2,NUM,Hard,"Given values a=19 and b=20 in Circuits - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
be923a14-0544-463b-b760-272fbc579291,Biotechnology,Biotechnology Applications,Biotechnology Applications - Topic 1,NUM,Medium,"Given values a=34 and b=53 in Biotechnology Applications - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
ee22a4c1-dc4a-49e0-81ed-78948aa56f7c,AIML,AIML Fundamentals,AIML Fundamentals - Topic 2,NUM,Hard,"Given values a=98 and b=70 in AIML Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
5aed34e6-fa0b-4dd8-97c5-5c827a1e0965,ECE,Signals,Signals - Topic 1,NUM,Hard,"Given values a=33 and b=15 in Signals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
3c550ae0-aa61-4941-9e5c-6617a4426fc8,Civil,Civil Fundamentals,Civil Fundamentals - Topic 2,NUM,Easy,"Given values a=37 and b=9 in Civil Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
b5638758-446f-4bee-9c9b-7261246f5af8,Data Science,Data Science Applications,Data Science Applications - Topic 2,NUM,Easy,"Given values a=99 and b=62 in Data Science Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
2569d017-c3d9-4281-b113-0facac25d44a,Civil,Civil Fundamentals,Civil Fundamentals - Topic 1,NUM,Expert,"Given values a=30 and b=88 in Civil Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
9f286909-1373-455d-a6c7-52545ccac6d7,CSE,Operating Systems,Operating Systems - Topic 2,NUM,Hard,"Given values a=33 and b=85 in Operating Systems - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
5fd248f2-7226-4698-8522-8ddb02441786,Aerospace,Aerospace Fundamentals,Aerospace Fundamentals - Topic 2,NUM,Easy,"Given values a=93 and b=42 in Aerospace Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
5fc8b7fd-5a5e-450a-bc51-524ff26f37c9,EEE,EEE Applications,EEE Applications - Topic 2,NUM,Expert,"Given values a=68 and b=13 in EEE Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
a63d58e2-e2e9-41fc-8fe7-7283d252021f,EEE,EEE Applications,EEE Applications - Topic 2,NUM,Expert,"Given values a=41 and b=82 in EEE Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
33c09384-025e-401b-81bd-bd808992b507,Automobile,Automobile Applications,Automobile Applications - Topic 2,NUM,Easy,"Given values a=93 and b=90 in Automobile Applications - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
c7d71b15-0335-435d-808d-c31b054bca2e,ECE,Communication Systems,Communication Systems - Topic 1,NUM,Expert,"Given values a=40 and b=5 in Communication Systems - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
c9037bfa-89c4-4180-8fcf-23b3cd4cada9,Civil,Civil Fundamentals,Civil Fundamentals - Topic 2,NUM,Easy,"Given values a=38 and b=95 in Civil Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
4b48d08b-eef9-41ae-9901-f848e8b9928a,Robotics,Robotics Fundamentals,Robotics Fundamentals - Topic 1,NUM,Expert,"Given values a=88 and b=99 in Robotics Fundamentals - Topic 1, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
268c99f9-cd72-4ed3-813f-e77c22d37826,Biotechnology,Biotechnology Fundamentals,Biotechnology Fundamentals - Topic 2,NUM,Medium,"Given values a=67 and b=14 in Biotechnology Fundamentals - Topic 2, compute result of a+b.",,,,,20,Total resistance in series is R1+R2 = 10+10 = 20 ohms.,,7,3
